search 	 搜索
where can i see the trailer for phineas redux ? 	 我在哪里可以看到phineas redux的预告片？
weather 	 天气
will it be getting colder in sahuarita ? 	 萨瓦里塔会变冷吗？
weather 	 天气
is agnew united states has chilly weather 	 是新的美国天气寒冷
search 	 搜索
where can i watch the tv series breed the pain ? 	 我在哪里可以看电视连续剧带来的痛苦？
movie 	 电影
what films are at kerasotes theatres 	 喀拉索特剧院看什么电影
movie 	 电影
when is harassed being played at plitt theatres ? 	 什么时候骚扰在普利特剧院上演？
weather 	 天气
what s the weather forecast for my current position ? 	 我目前的职位天气预报是什么？
weather 	 天气
what s the weather forecast for here in august ? 	 八月这里的天气预报是什么？
movie 	 电影
what movie house is playing the animated movies nearest ? 	 哪个电影院在播放最近的动画电影？
weather 	 天气
tell me the weather forecast for croatia now 	 告诉我现在克罗地亚的天气预报
music 	 音乐
play some fourties andrew lloyd webber on groove shark 	 在凹槽鲨鱼上玩四十年代安德鲁·劳埃德·韦伯
movie 	 电影
find careless love 	 找到粗心的爱
search 	 搜索
look for the thorns saga 	 寻找荆棘传奇
restaurant 	 餐厅
i need to book a restaurant in sunnybrook for 7 	 我需要在Sunnybrook预订一家餐厅，价格为7
search 	 搜索
where can i stream a television show called safety ep ? 	 我在哪里可以观看名为安全ep的电视节目？
search 	 搜索
please find me glass cloud – single 	 请找我玻璃云–单身
weather 	 天气
is it going to get chillier at 5 am in trussville bosnia and herzegovina ? 	 上午5点在波斯尼亚和黑塞哥维那的特鲁斯维尔会变得更冷吗？
movie 	 电影
what is the movie schedule for train 	 火车的电影时间表是多少？
search 	 搜索
find a video game called new york 911 	 找到一个名为纽约911的视频游戏
search 	 搜索
search for tera the exiled realm of arborea 	 寻找Tera放逐的Arborea王国
search 	 搜索
i d like to hear the song in a reverie 	 我想听听那首歌的遐想
music 	 音乐
play them by guy-manuel de homem-christo 	 由Guy-manuel de homem-christo播放
weather 	 天气
what is the weather forecast for yoakum sc ? 	 yoakum sc的天气预报是什么？
search 	 搜索
what is party all night 	 整晚聚会是什么
search 	 搜索
find the fields of sacrifice movie 	 找到祭祀电影的领域
movie 	 电影
what films are showing at national amusements 	 电影在民族娱乐中放映什么
search 	 搜索
show creative photograph of icewind dale heart of winter 	 显示冰风谷冬季之心的创意照片
search 	 搜索
where can i purchase the saga the second life of samuel tyne 	 塞缪尔·泰恩的第二人生
weather 	 天气
will it snow in haigler bosnia and herzegovina 	 在海格勒波斯尼亚和黑塞哥维那下雪吗
weather 	 天气
show me the forecast for anatone louisiana on november 7th 	 告诉我11月7日对路易斯安那州Anatone路易斯安那的预测
movie 	 电影
please check the movie schedule 	 请检查电影时间表
weather 	 天气
will it feel nicer in finland or new mexico today 	 今天在芬兰或新墨西哥会感觉更好吗
movie 	 电影
what time is the closet cinema playing movies the closest 	 壁橱电影院什么时候离电影最近
music 	 音乐
play some music using slacker 	 使用Slacker播放一些音乐
restaurant 	 餐厅
book for my girlfriend and i for truffade at a gastropub in west virginia 	 为我的女友和我在西弗吉尼亚州一家美食酒吧的旅行预订
movie 	 电影
what time is the graduates of malibu high playing at cobb theatres 	 什么时候马里布高中毕业生在科布剧院玩
restaurant 	 餐厅
book me a reservation for the brazen head in hecker 	 预订我在黑克的铜头的预订
music 	 音乐
play a 1950 album on iheart 	 在iheart上播放1950年专辑
search 	 搜索
find a soundtrack called the outpost 	 找到一个叫做前哨的配乐
weather 	 天气
what is the johnson creek forecast for chilly weather 	 约翰逊河对寒冷天气的预报是多少
weather 	 天气
weather within the same area as qatar at four 	 与卡塔尔同一地区的四点天气
search 	 搜索
find a song called this champagne mojito is the last thing i own 	 找到一首叫做“香槟莫吉托”的歌曲是我拥有的最后一件事
music 	 音乐
play songs by naomi schemer 	 播放Naomi Schemer的歌曲
weather 	 天气
what is the weather forecast in va 	 VA的天气预报是什么
movie 	 电影
what time is hold that blonde playing at the closest cinema ? 	 那个金发女郎在最近的电影院什么时候举行？
search 	 搜索
can i see the the tv series the late music ? 	 我可以看电视连续剧的后期音乐吗？
movie 	 电影
show me the movie schedule for the cooper foundation 	 给我看库珀基金会的电影时间表
movie 	 电影
what is the movie schedule at the fox theatres 	 狐狸剧院的电影时间表是什么
search 	 搜索
find the mystery woman saga 	 找到神秘女人的传奇
movie 	 电影
find lost in space 	 发现迷失在太空
search 	 搜索
find a book called screwed 	 找到一本叫做拧的书
music 	 音乐
play a record from the year 1979 	 播放1979年的唱片
search 	 搜索
show me heavenly sword 	 给我看天剑
restaurant 	 餐厅
need a jewish in maine to book a restaurant 	 需要缅因州的犹太人来预订餐厅
restaurant 	 餐厅
